centroid_x,centroid_y,mass,peak,plane_cp58_flux,plane_cp58_inventory,plane_cp70_flux,plane_cp70_inventory,plane_cp82_flux,plane_cp82_inventory,plane_cp90_flux,plane_cp90_inventory,spread_x,spread_y,time,total_mass
nan,nan,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0
13950,13950,198905886.6235361,75.51275719908746,40047.57941527622,5268.058220645939,0.04644007297537533,0.01854149957161941,1.754665296813919e-09,1.116819639076499e-09,1.673044043929821e-13,1.205375691687678e-13,709.861908790338,709.8619087903379,50,198905886.6235361
13950,13950,668775767.1836884,150.2972131405288,255476.2732003994,35835.03544895467,3.253137572640971,1.304625752393211,1.050473970463843e-06,6.693957961053036e-07,2.695687040876779e-10,1.94368714447823e-10,910.2421840456426,910.2421840456424,100,668775767.1836886
13950,13950,1424328650.844239,224.7821877176824,720517.0726027997,106617.3303522413,40.57081545744243,16.34044191700033,5.313229978853834e-05,3.389642699762683e-05,2.647359574293958e-08,1.910310605773912e-08,1059.870146623789,1059.870146623789,150,1424328650.844238
13949.99999999999,13950,2472899124.432443,299.1408566534501,1449220.229192115,224635.6056486328,239.3006652135178,96.78790917178108,0.0008902614354386806,0.0005685949216755803,7.319918521650988e-07,5.285984560747496e-07,1185.451621258132,1185.451621258132,200,2472899124.432442
13950,13950,3818625984.697774,373.4445067695697,2425513.857129315,391854.9201433198,926.6163415171892,376.3409222490183,0.007939601031217576,0.0050765589480508,9.769387830882449e-06,7.060111912612184e-06,1296.170515722258,1296.170515722257,250,3818625984.697774
13950,13950,5464142632.64852,447.7232202907072,3621249.193149155,607436.9625558897,2739.570194666875,1117.26538644162,0.0470603182771312,0.03012369294147385,8.117407880825711e-05,5.870612274421147e-05,1396.465102360643,1396.465102360643,300,5464142632.64852
13949.99999999999,13950,7411295448.826178,521.9900956502599,5005744.402206634,869186.8394179021,6714.67101668099,2749.708434796554,0.2094867299055117,0.13424287847681,0.0004833577016762301,0.0003498280295384089,1488.892423545717,1488.892423545717,350,7411295448.826176
13950,13950.00000000001,9661473049.975567,596.2510577353177,6550242.936069727,1174388.961283221,14340.60295886,5896.821472868273,0.7545111297720651,0.484040537381943,0.002248092121486888,0.001628241674775642,1575.093031047689,1575.093031047689,400,9661473049.975571
13949.99999999999,13950,12215772187.51923,670.5089076146372,8229615.404438579,1520252.68723188,27568.75076611665,11383.09817262584,2.308803725915181,1.482809341201966,0.008642041118005546,0.006263821137508056,1656.198251289768,1656.198251289768,450,12215772187.51923
